FID_,OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
,3342,Point_2309,12,Animal Location,2309,2309,6332,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],002F,412260,4906670
,3343,Point_4206,12,Animal Location,4074,4074,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],002G,412223,4906630
,3344,Point_1847,12,Animal Location,1847,1847,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],103A,453758.6898,4872045.565
,3345,Point_4207,12,Animal Location,4076,4076,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],335B,456959.218,4871843.554
,3346,Point_4208,12,Animal Location,4075,4075,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],335A,456598,4873530
,3347,Point_2061,12,Animal Location,2061,2061,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],212A,450212.2391,4877064.895
,3348,Point_1716,12,Animal Location,1716,1716,4223,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],212B,450332.0001,4875479.407
,3349,Point_4209,8.5,Animal Location,4077,4077,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],621A,458589.4419,4882896.801
,3350,Point_4210,2,Animal Location,4078,4078,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],558A,450386.0041,4884277.419
,3351,Point_1848,12,Animal Location,1848,1848,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],104A,460318.7671,4863882.292
,3352,Point_2126,12,Animal Location,2126,2126,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],217B,453367,4861470
,3353,Point_2062,12,Animal Location,2062,2062,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],217A,453869,4860630
,3354,Point_4211,2,Animal Location,4079,4079,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],217C,453879.59,4860677.519
,3355,Point_4212,8.5,Animal Location,4083,4083,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],583A,490994.7824,4970742.925
,3356,Point_2040,12,Animal Location,2040,2040,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],159B,484534.1194,4967191.623
,3357,Point_1945,12,Animal Location,1945,1945,456,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],159A,482786,4967830
,3358,Point_2311,12,Animal Location,2311,2311,2189,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],159C,481471.9924,4968876.879
,3359,Point_4213,12,Animal Location,4084,4084,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],382A,486337,4955890
,3360,Point_2305,12,Animal Location,2305,2305,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],270B,472840.3483,4940891.387
,3361,Point_2229,12,Animal Location,2229,2229,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],270A,472830.5162,4940946.903
,3362,Point_2096,12,Animal Location,2096,2096,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],220A,513440,4950010
,3363,Point_4214,12,Animal Location,4085,4085,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],220B,512515.344,4950254
,3364,Point_4215,12.5,Animal Location,4087,4087,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],325B,514435.6272,4946210.449
,3365,Point_4216,10,Animal Location,4088,4088,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],325C,513787.95,4945685.563
,3366,Point_4217,12.5,Animal Location,4086,4086,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],325A,513814.516,4945630.376
,3367,Point_4218,8.5,Animal Location,4089,4089,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],614A,503044.161,4940765.206
,3368,Point_2031,12,Animal Location,2031,2031,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],094C,511143,4940520
,3369,Point_1832,12,Animal Location,1832,1832,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],094B,511293,4939310
,3370,Point_1831,12,Animal Location,1831,1831,5635,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],094A,512076,4938630
,3371,Point_4219,10,Animal Location,4091,4091,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],500A,514984.6907,4936997.026
,3372,Point_4220,10,Animal Location,4090,4090,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],094D,513718.8204,4940119.024
