OBJECTID,PointID,Accuracy,Type,ObsID,ObsID_1,EO_ID,Species,Year,Month,Day,TimeStart,TimeEnd,UseID,ExtDB,ExtDBID,ExtJoinFie,ExtJoinVal,POINT_X,POINT_Y
2964,Point_1582,12.00000000000,Animal Location,1582,1582,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],008D,436245.06627000000,4877249.50468000000
2965,Point_1584,12.00000000000,Animal Location,1584,1584,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],008F,436466.76464300000,4878004.31606000000
2966,Point_1583,12.00000000000,Animal Location,1583,1583,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],008E,436521.75488400000,4877815.92895000000
2967,Point_1580,12.00000000000,Animal Location,1580,1580,3862,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],008B,436418.83869900000,4877490.00000000000
2968,Point_4013,4.00000000000,Animal Location,3884,3884,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],008J,436398.72389100000,4877455.38165000000
2969,Point_4014,10.00000000000,Animal Location,3885,3885,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],607A,438868.79947800000,4879680.73895000000
2970,Point_4015,4.00000000000,Animal Location,3886,3886,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],607B,438676.66800000000,4879402.42400000000
2971,Point_1575,12.00000000000,Animal Location,1575,1575,214,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],007A,436986.00000000000,4880270.00000000000
2972,Point_1577,12.00000000000,Animal Location,1577,1577,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],007C,437126.00000000000,4880170.00000000000
2973,Point_1576,12.00000000000,Animal Location,1576,1576,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],007B,436453.00000000000,4879710.00000000000
2974,Point_1578,12.00000000000,Animal Location,1578,1578,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],007D,436251.00000000000,4879430.00000000000
2975,Point_4016,12.00000000000,Animal Location,3887,3887,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],597A,436707.00000000000,4882003.00000000000
2976,Point_4017,12.00000000000,Animal Location,3888,3888,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],102B,438436.07214200000,4883674.64528000000
2977,Point_1846,12.00000000000,Animal Location,1846,1846,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],102A,439231.00000000000,4883940.00000000000
2978,Point_4018,8.50000000000,Animal Location,3889,3889,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],618A,438616.85544500000,4885809.25811000000
2979,Point_1592,12.00000000000,Animal Location,1592,1592,1425,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],192B,439070.00000000000,4887360.00000000000
2980,Point_2013,12.00000000000,Animal Location,2013,2013,-1,Haliaeetus leucocephalus,0,0,0,,,IO,-1,5,[NestSites].[PK_Nest],192A,439086.00000000000,4887330.00000000000
2981,Point_4019,7.50000000000,Animal Location,3890,3890,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],601A,439111.29800000000,4889031.23300000000
2982,Point_4020,11.50000000000,Animal Location,3891,3891,0,Haliaeetus leucocephalus,0,0,0,,,ER,-1,5,[NestSites].[PK_Nest],006B,439961.62200000000,4891874.98300000000
